店鋪所在縣市,店鋪名稱,店鋪地址,店鋪電話
高雄市,一心,高雄市前鎮區一心二路45號,(07)3300900
基隆市,七堵,基隆市七堵區明德一路188號,(02)24565652
新北市,三和,新北市三重區三和路四段155巷2號,(02)82870796
新北市,三和2,新北市三重區三和路四段420號,(02)22800915
新北市,三峽,新北市三峽區民生街119-2號,(02)26728785
台中市,三民,台中市北區三民路三段92-3號,(04)22260075
台北市,三總,台北市內湖區成功路二段325號B1,(02)27912391
新北市,三芝,新北市三芝區育英街1號,(02)26369211
新北市,三華,新北市三重區中華路99號,(02)89827815
新北市,三重,新北市三重區重新路二段78號,(02)29788524
台南市,下營,台南市下營區中山路一段66號,(06)6893118
台北市,世新,台北市文山區木柵路一段167號,(02)22365603
桃園市,中三,桃園市中壢區新生路40號,(03)4278267
桃園市,中原,桃園市中壢區日新路82號,(03)4372449
桃園市,中原2,桃園市中壢區中山東路二段26號,(03)4370348
新北市,中和,新北市中和區興南路一段47號,(02)31515425
新北市,中央,新北市三重區中央北路134號,(02)29777276
新北市,中山,新北市永和區中山路一段212號,(02)29250603
台南市,中山北,台南市永康區中山北路31號,(06)2320600
台南市,中山南,台南市永康區中山南路237號,(06)3021600
桃園市,中山東,桃園市桃園區中山東路32-4號,(03)3311461
台中市,中工,台中市西屯區中工三路162號,(04)23590875
新北市,中平,新北市新莊區中平路87巷1號,(02)22779815
新北市,中正北,新北市三重區中正北路189號,(02)29710809
新竹縣,中正西,新竹縣竹北市中正西路19號,(03)6563709
新北市,中港,新北市新莊區中港路297號,(02)89915400
台中市,中站,台中市中區臺灣大道一段25號,(04)22273218
新北市,中興,新北市永和區中興街91號,(02)29240578
新北市,中連,新北市中和區中和路1號,(02)22405711
彰化縣,二林,彰化縣二林鎮中山路110號,(04)8958408
台北市,五分埔,台北市信義區松山路111號,(02)27666400
新北市,五權,新北市新莊區五權一路48號,(02)89904400
高雄市,五甲,高雄市鳳山區五甲二路690號,(07)8210753
新北市,五股,新北市五股區工商路80號,(02)22920955
新北市,五華,新北市三重區五華街59號,(02)89830409
新北市,亞東,新北市板橋區四川路二段51號,(02)89660526
台北市,京站,台北市大同區市民大道一段209號1樓,(02)25525682
基隆市,仁三,基隆市仁愛區仁三路68號,(02)24250168
台中市,仁化,台中市大里區仁化路563號,(04)24913090
台南市,仁德,台南市仁德區中正路三段12號,(06)2494504
高雄市,仁忠,高雄市仁武區仁忠路202號,(07)3742855
高雄市,仁武,高雄市仁武區仁武村中正路190-1號,(07)3751473
桃園市,介壽,桃園市八德區介壽路二段1068號,(03)3652639
台北市,伊通,台北市中山區南京東路二段178號,(02)25079825
台南市,佳里,台南市佳里區義民街219號,(06)7210648
桃園市,來來,桃園市中壢區中山路118號,(03)4275015
台北市,信義三,台北市大安區信義路四段22號,(02)27087161
桃園市,健行,桃園市中壢區健行路200號,(03)4570272
台北市,光南,台北市信義區光復南路445-1號,(02)27587164
台南市,光明,台南市東區光明街14號,(06)2368770
新北市,光華,新北市蘆洲區光華路38號,(02)22839078
屏東縣,內埔,屏東縣內埔鄉廣濟路179號,(08)7784325
桃園市,內壢,桃園市中壢區中華路一段209號,(03)4342842
高雄市,內惟,高雄市鼓山區九如四路1476號,(07)5810126
台北市,內湖,台北市內湖區成功路四段46號,(02)27929221
桃園市,八德,桃園市八德區介壽路一段950號,(03)3612273
新北市,八里,新北市八里區中山路二段399號,(02)26192029
台南市,公園,台南市中西區公園路32號,(06)2241202
台中市,公益,台中市西區公益路175號,(04)23016518
苗栗縣,公館,苗栗縣公館鄉大同路154號,(037)239647
高雄市,六合,高雄市新興區六合一路94號,(07)2371708
高雄市,六合發,高雄市新興區六合二路14號,(07)2853708
台南市,六甲,台南市六甲區中山路2號,(06)6991748
台北市,劍潭,台北市士林區大東路11之7號,(02)28827326
台北市,劍潭2,台北市士林區劍潭路15號,(02)28818356
